timestamp,symbol,exchange,direction,quantity,price,product,stop_loss,target,risk_reward,regime,composite_signal,agreement,value,pct_of_capital,status,order_id
2026-03-17T10:15:17.801949+05:30,BPCL,NSE,SELL,16,0,MIS,328.84,261.37,1.5,Bear,-0.4261,0.75,4829.6,0.0483,paper,PAPER-20260317101517
2026-03-17T10:15:25.297410+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1869.47,1618.29,1.5,Bear,-0.4102,0.62,3538.0,0.0354,paper,PAPER-20260317101525
2026-03-17T10:20:35.211998+05:30,TCS,NSE,SELL,2,0,MIS,2497.9,2211.9,1.5,Bear,-0.5899,0.75,4767.0,0.0477,paper,PAPER-20260317102035
2026-03-17T10:20:36.978085+05:30,INFY,NSE,SELL,4,0,MIS,1294.73,1136.16,1.5,Bear,-0.4771,0.62,4925.2,0.0493,paper,PAPER-20260317102036
2026-03-17T10:20:41.091478+05:30,HCLTECH,NSE,SELL,3,0,MIS,1383.63,1213.31,1.5,Bear,-0.465,0.62,3946.5,0.0395,paper,PAPER-20260317102041
2026-03-17T10:20:47.828684+05:30,WIPRO,NSE,SELL,26,0,MIS,200.7,175.3,1.5,Bear,-0.498,0.62,4954.04,0.0495,paper,PAPER-20260317102047
2026-03-17T10:20:57.599190+05:30,TECHM,NSE,SELL,3,0,MIS,1403.9,1220.9,1.5,Bear,-0.5253,0.62,3992.1,0.0399,paper,PAPER-20260317102057
2026-03-17T10:21:03.136431+05:30,BPCL,NSE,SELL,16,0,MIS,329.64,262.17,1.5,Bear,-0.4231,0.75,4842.4,0.0484,paper,PAPER-20260317102103
2026-03-17T10:26:20.079670+05:30,TCS,NSE,SELL,2,0,MIS,2497.4,2211.4,1.5,Bear,-0.5901,0.75,4766.0,0.0477,paper,PAPER-20260317102620
2026-03-17T10:26:21.432428+05:30,INFY,NSE,SELL,4,0,MIS,1296.03,1137.46,1.5,Bear,-0.4762,0.62,4930.4,0.0493,paper,PAPER-20260317102621
2026-03-17T10:26:26.028180+05:30,HCLTECH,NSE,SELL,3,0,MIS,1385.53,1215.21,1.5,Bear,-0.4638,0.62,3952.2,0.0395,paper,PAPER-20260317102626
2026-03-17T10:26:33.361680+05:30,WIPRO,NSE,SELL,26,0,MIS,200.63,175.23,1.5,Bear,-0.4982,0.62,4952.22,0.0495,paper,PAPER-20260317102633
2026-03-17T10:26:41.365490+05:30,TECHM,NSE,SELL,3,0,MIS,1402.1,1219.1,1.5,Bear,-0.5272,0.62,3986.7,0.0399,paper,PAPER-20260317102641
2026-03-17T10:26:45.223693+05:30,BPCL,NSE,SELL,16,0,MIS,328.99,261.52,1.5,Bear,-0.4256,0.75,4832.0,0.0483,paper,PAPER-20260317102645
2026-03-17T10:32:03.607318+05:30,TCS,NSE,SELL,2,0,MIS,2493.7,2207.7,1.5,Bear,-0.5917,0.75,4758.6,0.0476,paper,PAPER-20260317103203
2026-03-17T10:32:04.885044+05:30,INFY,NSE,SELL,4,0,MIS,1295.23,1136.66,1.5,Bear,-0.4767,0.62,4927.2,0.0493,paper,PAPER-20260317103204
2026-03-17T10:32:09.944324+05:30,HCLTECH,NSE,SELL,3,0,MIS,1385.73,1215.41,1.5,Bear,-0.4637,0.62,3952.8,0.0395,paper,PAPER-20260317103209
2026-03-17T10:32:18.447044+05:30,WIPRO,NSE,SELL,26,0,MIS,200.38,174.98,1.5,Bear,-0.4988,0.62,4945.72,0.0495,paper,PAPER-20260317103218
2026-03-17T10:32:27.108229+05:30,TECHM,NSE,SELL,3,0,MIS,1405.2,1222.2,1.5,Bear,-0.4276,0.62,3996.0,0.04,paper,PAPER-20260317103227
2026-03-17T10:32:29.308480+05:30,CIPLA,NSE,SELL,3,0,MIS,1344.6,1219.1,1.5,Bear,-0.4001,0.75,3883.2,0.0388,paper,PAPER-20260317103229
